Item Name,Quantity,Box #,Location,Category,Condition,Date Added,Last Checked,Notes,Value ($),Image Link,Checked Out By,Return Date
Example,1,,Rutgers storage,"Electronics, Decorations, etc",good,leave blank ill put it in ,Oct 31,Jeeeet,100,"link after, ",no need to fill out rn,
Yellow Extension,1,12,Rutgers storage,Cable,good,1/11/25,1/11/25,,,,,
Black Cable,1,12,Rutgers storage,Cable,good,1/11/25,1/11/25,,,,,
Grey Surge Protectors,2,12,Rutgers storage,Cable,good ,1/11/25,1/11/25,,,,,
Black Triple Multiplug,1,12,Rutgers storage,Cable,good ,1/11/25,1/11/25,,,,,
Black Multiplug,1,12,Rutgers storage,Cable,good ,1/11/25,1/11/25,,,,,
White Extension Cord Short,2,12,Rutgers storage,Cable,,,,,,,,
White Extension Cord long,1,12,Rutgers storage,Cable,,,,,,,,
Plastic Forks,box,1,Rutgers storage,Utensils,good,,,,,,,
Plastic Forks,walmart bag,1,Rutgers storage,Utensils,good,,,,,,,
Parchment Paper,1,1,Rutgers storage,Utensils,,,,,,,,
napkins,target bag,2,Rutgers storage,Utensils,,,,,,,,
Paper plates,walmart bag,2,Rutgers storage,Utensils,,,,,,,,
Plastic Spoons,box,1,Rutgers storage,Utensils,good,,,,,,,
Big Black Lanterns,2,13,Rutgers storage,Lights,,,,,,,,
Yellow String Lanterns,1,13,Rutgers storage,Lights,,,,,,,,
String Snow String (Large),1,13,Rutgers storage,Lights,,,,,,,,
Medium Black Lanterns,2,13,Rutgers storage,Lights,,,,,,,,
Small Yellow Metal Lantern,5,13,Rutgers storage,Lights,,,,,,,,
Yellow String Lanterns,5,13,Rutgers storage,Lights,,,,,,,,
String Snow Lights (Small),1,13,Rutgers storage,Lights,,,,,,,,
Yellow Lantern Holder,2,13,Rutgers storage,Lights,,,,,,,,
Tall Gold Lanterns,4,13,Rutgers storage,Lights,,,,,,,,
Small Tall White Battery Candles,18 (Box),13,Rutgers storage,Lights,,,,,,,,
Medium White Battery Candles,50 (2 Boxs),13,Rutgers storage,Lights,,,,,,,,
Small Fairy Lights,Multiple (Box),13,Rutgers storage,Lights,,,,,,,,
Small Fairy Lights,Multiple (Bag),13,Rutgers storage,Lights,,,,,,,,
Wax and electric tea candles,bag,13,Rutgers storage,Lights,,,,,,,,
Spikeball (in Box),1,9,Rutgers storage,,,,,,,,,
Spikeball (in Bag),1,9,Rutgers storage,,,,,,,,,
Limbo,1,9,Rutgers storage,,,,,,,,,
Wiffle Ball & Bat (Red),1,8,Rutgers storage,,,,,,,,,
Football,1,9,Rutgers storage,,,,,,,,,
Volleyball,1,8,Rutgers storage,,,,,,,,,
Cones,24,9,Rutgers storage,,,,,,,,,
Tug of War,1,9,Rutgers storage,,,,,,,,,
Clown Balls,2 Bags,8,Rutgers storage,,,,,In a blue bag,,,,
Assorted Florals,Multiple (box),3,Rutgers storage,,,,,,,,,
Gold Plastic Knives,5 Packs,1,Rutgers storage,utensils,,,,,,,,
silver serving spoons,3,2,Rutgers storage,utensils,,,,,,,,
metal tongs,5,2,Rutgers storage,utensils,,,,,,,,
flag banners,4,4,Rutgers storage,decor,,,,,,,,
marbles,burda bag,4,Rutgers storage,decor,,,,,,,,
world map banner,1,4,Rutgers storage,decor,,,,,,,,
medium chai cups,assorted,2,Rutgers storage,utensils,,,,,,,,
clear candy bowls,4,2,Rutgers storage,utensils,,,,,,,,
poly aprons,1 pack,2,Rutgers storage,utensils,,,,,,,,
assorted plastic tablecloths,rutgers bag,2,Rutgers storage,utensils,,,,,,,,
disposable gloves,purple bag,2,Rutgers storage,utensils,,,,,,,,
Fluted vases,,black crate 1,Rutgers storage,Glass,,,,,,,,
fluted vases,,black crate 2,Rutgers storage,Glass,,,,,,,,
fluted vases,,wooden crate 3,Rutgers storage,Glass,,,,,,,,
rounded vases,,wooden crate 1+2,Rutgers storage,Glass,,,,,,,,
table number holders,,wooden crate 1,Rutgers storage,Glass,,,,,,,,
rounded vases,,wooden crate 3,Rutgers storage,Glass,,,,,,,,
colored vases,,black crate 3,Rutgers storage,Glass,,,,,,,,
candleholders,,black crate 3,Rutgers storage,Glass,,,,,,,,
eid mubarak banner,1,4,Rutgers storage,decor,,,,,,,,
candy jars,,clear box 14,Rutgers storage,Glass,,,,,,,,
mic,1,12,Rutgers storage,electronics,,,,,,,,
race flags,19,4,Rutgers storage,decor,,,,,,,,
toilet paper rolls,box,4,Rutgers storage,decor,,,,,,,,
rubber duckies,box,4,Rutgers storage,decor,,,,,,,,
yellow sunglasses,box,4,Rutgers storage,decor,,,,,,,,
gold coins,box,4,Rutgers storage,decor,,,,,,,,
balloon pumps,2,4,Rutgers storage,tools,,,,,,,,
assorted balloons,bag,4,Rutgers storage,decor,,,,,,,,
brick backdrop,1,clear box 15,Rutgers storage,backdrop,,,,,,,,
arabian night backdrop,1,clear box 15,Rutgers storage,backdrop,,,,,,,,
space backdrop,2,clear box 15,Rutgers storage,backdrop,,,,,,,,
green paper roll,1,4,Rutgers storage,stationary,,,,,,,,
beach ball,9,4,Rutgers storage,decor,,,,,,,,
racetrack runner,1,clear box 15,Rutgers storage,decor,,,,,,,,
race checkered backdrop,1,clear box 15,Rutgers storage,backdrop,,,,,,,,
mario backdrop,1,clear box 15,Rutgers storage,backdrop,,,,,,,,
mugshot backdrop,1,clear box 15,Rutgers storage,backdrop,,,,,,,,
island backdrop,1,clear box 15,Rutgers storage,backdrop,,,,,,,,
map backdrop,1,clear box 15,Rutgers storage,backdrop,,,,,,,,
harry potter backdrop,1,clear box 15,Rutgers storage,backdrop,,,,,,,,
r2r neon sign,1,4,Rutgers storage,decor,,,,,,,,
tripod,1,12,Rutgers storage,electronics,,,,,,,,
mic stand,1,12,Rutgers storage,electronics,,,,,,,,
white paper roll,1,4,Rutgers storage,stationary,,,,,,,,
suitcase 3 pack,1,4,Rutgers storage,decor,,,,,,,,
red curtains,2 panels,clear box 15,Rutgers storage,backdrop,,,,,,,,
jenga,1,8,Rutgers storage,game,,,,,,,,
